given_name,number,year
Daniel,12839,2016
Sophia,16070,2016
James,14790,2016
Jacob,14416,2016
Isabella,14722,2016
Robert,5953,2016
Michael,14004,2016
Linda,381,2016
Noah,19093,2016
David,11028,2016
Mary,2468,2016
James,14785,2015
Noah,19671,2015
Sophia,17381,2015
Mary,2610,2015
Daniel,13464,2015
Jacob,15919,2015
Michael,14406,2015
David,11773,2015
Isabella,15574,2015
Linda,372,2015
Robert,6100,2015
Noah,19317,2014
David,12182,2014
James,14408,2014
Linda,419,2014
Daniel,13924,2014
Isabella,17054,2014
Sophia,18588,2014
Jacob,16842,2014
Robert,6623,2014
Mary,2626,2014
Michael,15431,2014
Mary,2631,2013
Isabella,17617,2013
Robert,6698,2013
Sophia,21193,2013
Noah,18255,2013
Michael,15468,2013
Linda,390,2013
David,12339,2013
James,13540,2013
Daniel,14278,2013
Jacob,18133,2013
Sophia,22292,2012
Mary,2557,2012
Isabella,19089,2012
David,12517,2012
Michael,16143,2012
James,13404,2012
Robert,6937,2012
Daniel,14264,2012
Noah,17363,2012
Linda,380,2012
Jacob,19061,2012
Noah,16876,2011
Jacob,20363,2011
Mary,2685,2011
Isabella,19904,2011
Daniel,15269,2011
Sophia,21833,2011
Michael,16775,2011
David,13215,2011
James,13239,2011
Linda,441,2011
Robert,6964,2011
Michael,17336,2010
Mary,2856,2010
Daniel,15832,2010
Noah,16472,2010
Linda,437,2010
Robert,7547,2010
Isabella,22898,2010
James,13870,2010
Jacob,22115,2010
Sophia,20634,2010
David,14181,2010
Noah,17268,2009
Isabella,22289,2009
Jacob,21168,2009
James,14199,2009
Sophia,16934,2009
Linda,512,2009
Mary,3152,2009
Robert,7818,2009
David,15428,2009
Daniel,17549,2009
Michael,18932,2009
Robert,8822,2008
Linda,582,2008
Isabella,18614,2008
Sophia,16078,2008
Daniel,19016,2008
Jacob,22587,2008
Mary,3489,2008
Noah,15800,2008
Michael,20619,2008
David,16315,2008
James,15170,2008
Mary,3669,2007
Daniel,20250,2007
Linda,631,2007
David,17537,2007
Robert,9371,2007
Jacob,24270,2007
Sophia,17020,2007
James,15951,2007
Noah,16624,2007
Isabella,19139,2007
Michael,21986,2007
Daniel,20070,2006
Sophia,13497,2006
Isabella,18220,2006
David,17624,2006
Michael,22658,2006
Jacob,24835,2006
Linda,664,2006
Robert,9895,2006
Noah,16346,2006
Mary,4080,2006
James,16235,2006
David,18114,2005
Sophia,12670,2005
Linda,720,2005
Robert,10156,2005
Isabella,15180,2005
Daniel,20218,2005
Michael,23816,2005
James,16132,2005
Noah,13911,2005
Mary,4448,2005
Jacob,25835,2005
Noah,11953,2004
David,18415,2004
Linda,697,2004
James,16529,2004
Michael,25561,2004
Sophia,10935,2004
Mary,4820,2004
Daniel,21016,2004
Robert,10698,2004
Isabella,15047,2004
Jacob,28012,2004
Mary,5007,2003
Isabella,13780,2003
Jacob,29632,2003
Robert,11391,2003
Michael,27160,2003
James,16891,2003
Daniel,21058,2003
Noah,11856,2003
David,18624,2003
Linda,718,2003
Sophia,9683,2003
Noah,12075,2002
Isabella,12166,2002
Linda,748,2002
Mary,5456,2002
David,18681,2002
Michael,28290,2002
Sophia,8663,2002
Jacob,30569,2002
James,16954,2002
Robert,12024,2002
Daniel,21322,2002
Daniel,21008,2001
Sophia,7155,2001
Robert,12662,2001
Noah,13481,2001
Isabella,8833,2001
James,17074,2001
Mary,5727,2001
Linda,810,2001
Michael,29711,2001
Jacob,32536,2001
David,19352,2001
Mary,6187,2000
David,19783,2000
Robert,13735,2000
James,17979,2000
Isabella,6242,2000
Daniel,22349,2000
Linda,818,2000
Noah,14275,2000
Sophia,6561,2000
Michael,32089,2000
Jacob,34486,2000
Mary,6366,1999
Robert,14539,1999
Noah,14931,1999
James,18556,1999
Linda,860,1999
Sophia,5422,1999
Jacob,35376,1999
Michael,33983,1999
Isabella,5059,1999
Daniel,22716,1999
David,20332,1999
Michael,36692,1998
Isabella,3837,1998
Linda,939,1998
David,20891,1998
Daniel,23189,1998
Noah,13419,1998
James,19691,1998
Jacob,36022,1998
Mary,6438,1998
Sophia,4302,1998
Robert,15524,1998
Jacob,34165,1997
Noah,9281,1997
Linda,1070,1997
Mary,6628,1997
Daniel,23983,1997
Sophia,3630,1997
Isabella,2850,1997
David,21886,1997
James,20411,1997
Michael,37628,1997
Robert,16315,1997
James,21162,1996
David,23038,1996
Mary,6952,1996
Robert,17682,1996
Linda,943,1996
Noah,7188,1996
Daniel,25150,1996
Isabella,2095,1996
Jacob,31940,1996
Sophia,2487,1996
Michael,38454,1996
Jacob,31137,1995
Mary,7446,1995
Robert,18589,1995
Isabella,1717,1995
Noah,3818,1995
Daniel,26793,1995
Linda,1208,1995
David,23069,1995
James,22746,1995
Sophia,1738,1995
Michael,41505,1995
Michael,44590,1994
Isabella,1239,1994
Sophia,1585,1994
David,24901,1994
Daniel,28138,1994
Mary,7748,1994
