name,number,year
Abigail,2828,2016
Elijah,3058,2016
Andrew,1452,2016
Oliver,2565,2016
Aria,1003,2016
Camila,2903,2016
Penelope,1053,2016
Sebastian,3931,2016
Adrian,1491,2016
Alexander,3520,2016
Jose,2538,2016
Julian,3131,2016
Benjamin,3219,2016
Mason,2764,2016
Liam,6540,2016
Matthew,5015,2016
Scarlett,1106,2016
Mia,5835,2016
Sofia,3458,2016
Isabella,6458,2016
Victoria,2680,2016
Emily,3172,2016
Sophia,6970,2016
Joshua,2342,2016
Emma,7070,2016
Angel,2543,2016
Ethan,4919,2016
Christopher,2374,2016
Michael,4216,2016
Amelia,1050,2016
Isaiah,1106,2016
Lucas,2688,2016
Samuel,2222,2016
Elizabeth,2034,2016
Dylan,2727,2016
Logan,1308,2016
Nathan,1690,2016
Evelyn,2199,2016
James,2885,2016
Ava,4135,2016
Daniel,3891,2016
Alexa,1025,2016
Mateo,3119,2016
Luke,2391,2016
Leonardo,1031,2016
David,3104,2016
Gabriel,1056,2016
Jonathan,1097,2016
Aaron,2585,2016
Isaac,2622,2016
Joseph,1412,2016
Ryan,1231,2016
William,2727,2016
Jacob,5048,2016
Charlotte,1376,2016
Samantha,1007,2016
Anthony,2773,2016
Aiden,3050,2016
Avery,1023,2016
John,1016,2016
Olivia,6891,2016
Noah,7188,2016
Jayden,3093,2016
Jose,2650,2015
Ethan,5386,2015
John,1030,2015
Camila,2528,2015
Angel,2780,2015
Liam,6434,2015
Isaac,2824,2015
Noah,7392,2015
Ryan,1199,2015
Daniel,5130,2015
Jayden,3631,2015
Nathan,2921,2015
Sebastian,3611,2015
Jackson,1016,2015
Aiden,3356,2015
Victoria,2778,2015
Anthony,2977,2015
Christian,2127,2015
Olivia,6787,2015
Luke,2409,2015
Samuel,2202,2015
Jonathan,2294,2015
Alexander,3826,2015
Samantha,1108,2015
Mia,6943,2015
Elijah,2942,2015
Christopher,2534,2015
Adrian,2526,2015
Logan,1477,2015
Damian,1055,2015
Juan,1010,2015
Joseph,3638,2015
