year,total_babies
1910,516315
1911,565822
1912,887999
1913,1028578
1914,1293340
1915,1690022
1916,1786520
1917,1855689
1918,2013368
1919,1954818
1920,2101134
1921,2170926
1922,2127310
1923,2141716
1924,2218857
1925,2172447
1926,2137420
1927,2160432
1928,2105619
1929,2040808
1930,2071045
1931,1959162
1932,1964583
1933,1857866
1934,1933567
1935,1947184
1936,1936386
1937,1986878
1938,2068449
1939,2060040
1940,2157766
1941,2288393
1942,2576688
1943,2665079
1944,2537266
1945,2501969
1946,3032555
1947,3427658
1948,3280381
1949,3312371
1950,3330965
1951,3507395
1952,3616498
1953,3667565
1954,3791860
1955,3822067
1956,3925942
1957,4002301
1958,3933841
1959,3955359
1960,3948285
1961,3930176
1962,3826088
1963,3747900
1964,3674959
1965,3419997
1966,3268121
1967,3184524
1968,3160115
1969,3245440
1970,3359904
1971,3177871
1972,2890435
1973,2759591
1974,2774155
1975,2744746
1976,2754165
1977,2882924
1978,2877596
1979,3019009
1980,3130607
1981,3146074
1982,3192940
1983,3153566
1984,3176691
1985,3246156
1986,3228063
1987,3266349
1988,3341106
1989,3475391
1990,3566753
1991,3502904
1992,3442429
1993,3364179
1994,3307545
1995,3249605
1996,3225359
1997,3193607
1998,3229968
1999,3233728
2000,3297484
2001,3251626
2002,3238625
2003,3289668
2004,3294861
2005,3306386
2006,3388984
2007,3413961
2008,3342040
2009,3234208
2010,3119095
2011,3082465
2012,3078459
2013,3073647
2014,3134043
2015,3124166
2016,3077573
